artist,title,best_sonic_weight,edge_hybrid_p10,edge_genre_min,edge_transition_min
Marvin Gaye,Let's Get It On,0.55,0.8388,0.773,0.9897
Sonic Youth,Silver Rocket,0.55,0.7081,0.7953,0.9737
Beach House,Once Twice Melody,0.55,0.5197,0.7281,0.9326
Sufjan Stevens,Casimir Pulaski Day,0.55,0.5725,0.6983,0.9669
Bill Evans,Midnight Mood,0.55,0.8682,0.727,0.9682
Aphex Twin,#4,0.55,0.7017000000000001,0.6589,0.9449
Aaliyah,Rock The Boat,0.55,0.8052,0.8066999999999999,0.9936000000000001
TOPS,Way to be Loved,0.55,0.8392,0.7018,0.9841000000000001
Weyes Blood,Andromeda,0.55,0.5306,0.7265,0.9756
Jay Reatard,It's So Easy,0.65,0.6047,0.2834,0.9986
Built to Spill,Carry the Zero,0.75,0.6272,0.0516,0.9914999999999999
Jonny Nash,Eternal Life,0.75,0.4259,0.1158,0.9817
