dial,metric,mean_range_across_seeds,max_range_across_seeds
sonic_weight,edge_hybrid_p10,0.0,0.0
sonic_weight,seed_sim_mean,0.0,0.0
sonic_weight,edge_genre_min,0.0,0.0
sonic_weight,edge_transition_min,0.0,0.0
sonic_weight,unique_artists,0.0,0.0
sonic_weight,max_artist_percentage,0.0,0.0
min_genre_similarity,edge_hybrid_p10,0.0,0.0
min_genre_similarity,seed_sim_mean,0.0,0.0
min_genre_similarity,edge_genre_min,0.0,0.0
min_genre_similarity,edge_transition_min,0.0,0.0
min_genre_similarity,unique_artists,0.0,0.0
min_genre_similarity,max_artist_percentage,0.0,0.0
genre_method,edge_hybrid_p10,0.0,0.0
genre_method,seed_sim_mean,0.0,0.0
genre_method,edge_genre_min,0.0,0.0
genre_method,edge_transition_min,0.0,0.0
genre_method,unique_artists,0.0,0.0
genre_method,max_artist_percentage,0.0,0.0
transition_strictness,edge_hybrid_p10,0.0,0.0
transition_strictness,seed_sim_mean,0.0,0.0
transition_strictness,edge_genre_min,0.0,0.0
transition_strictness,edge_transition_min,0.0,0.0
transition_strictness,unique_artists,0.0,0.0
transition_strictness,max_artist_percentage,0.0,0.0
