seed_track_id,artist,title,edge_hybrid_p10,seed_sim_mean,edge_genre_min,edge_sonic_p10,edge_transition_min,unique_artists,max_artist_percentage,below_similarity_floor,artist_cap_rejected
5a363d4ef1cc05132b5577b93caddb96,Jonny Nash,Eternal Life,0.2572,0.588,0.3093,0.9539,0.884,20,0.1333,31366,1533
bee37246b632df7dcb8fd0d7d6194306,Weyes Blood,Andromeda,0.5248,0.7031,0.6271,0.9928,0.9883,14,0.1333,27994,5128
5b78debacd8a7adfc6476fb4c2ad3315,Sufjan Stevens,Casimir Pulaski Day,0.5686,0.7602,0.74,0.987,0.9586,14,0.1333,30799,2660
370b83ca5f025ddf99d67c885df37cef,Beach House,Once Twice Melody,0.5721,0.705,0.7097,0.9848,0.9557,21,0.1333,28109,4955
4afa1f98bfd3bc9c108f131584cd0532,Jay Reatard,It's So Easy,0.6448,0.7493,0.2397,0.9989,0.9961,25,0.1333,25767,7132
245605408d2c8a532b13ca6a71b1352f,Built to Spill,Carry the Zero,0.6931,0.7605,0.2824,0.9982,0.9949,23,0.1333,25441,7458
62691d38ceb5d153cbc21ed11e77c054,Aphex Twin,#4,0.7093,0.8369,0.6867,0.9915,0.9388,11,0.1333,32393,1228
33f74d3e1cd2667cb332161fd86998eb,Sonic Youth,Silver Rocket,0.7178,0.8167,0.6576,0.9977,0.98,16,0.1,28127,5026
89f67bd19c13c2c481bd583206ce44d9,Aaliyah,Rock The Boat,0.8204,0.8862,0.8071,0.9987,0.9964,18,0.1333,31029,2403
ac056e4b6b1bcdc36e576ee13659900f,TOPS,Way to be Loved,0.8453,0.9128,0.7018,0.996,0.9841,14,0.1333,31508,1976
217ca230e96b4ce9597469be5e6e84a9,Marvin Gaye,Let's Get It On,0.8544,0.9249,0.7793,0.9983,0.9933,16,0.1333,31189,2268
5bbb5c1c2481bca6cfefde01466129e2,Bill Evans,Midnight Mood,0.8664,0.93,0.7406,0.9863,0.9682,23,0.1333,31134,1913
